noise_pct,r2_fd,runtime_fd_s,r2_savgol,runtime_savgol_s,r2_gp,runtime_gp_s,r2_weak,runtime_weak_s
0.0,0.9999912682980269,0.006824375130236149,0.9999152268637768,0.00729274982586503,0.9999976835095182,1.9838330829516053,0.9010729936665699,0.017777458298951387
0.005,0.8246796125502336,0.010370166972279549,0.989121247133773,0.0164358327165246,0.997009570980745,1.3312195828184485,0.8999963022599978,0.020544415805488825
0.01,0.8162741334843306,0.009105832781642675,0.9577902136301315,0.008467458188533783,0.9898688889502472,1.4562730421312153,0.8984308666323825,0.02049191715195775
0.02,0.7907423748381254,0.00918099982663989,0.9063729616094417,0.008147708140313625,0.9812804571535937,1.3486047079786658,0.8950036734327652,0.014203583355993032
0.03,0.7164648959242954,0.008302500005811453,0.8712527544359677,0.010790499858558178,0.9724826579681871,1.290705708321184,0.8913137322497047,0.014337750151753426
0.05,0.40491947260068617,0.009028708096593618,0.8464377829205354,0.009370333049446344,0.9508250896624224,1.1224459167569876,0.8853246902056537,0.014043500181287527
0.07,0.009595692195977668,0.008391499985009432,0.834666591236344,0.008746332954615355,0.9384577320689977,1.19159737508744,0.8845562858528846,0.013959874864667654
0.1,-0.48591924932905717,0.007817166857421398,0.8164470884009228,0.0170587501488626,0.9199429385799514,1.2586744166910648,0.8877538286326282,0.020351167302578688
0.15,-0.9947758546976644,0.015210666693747044,0.7567364720606268,0.022343208082020283,0.12027295313596409,1.1278787502087653,0.8788612654982755,0.014221916906535625
0.2,-1.2981236937650276,0.011728708166629076,0.649905113300785,0.008782957680523396,-0.2861955057895935,1.1339910412207246,0.8316006820966351,0.020406624767929316
0.25,-1.5343728771778786,0.023051041178405285,0.5056776519159292,0.009851917158812284,-0.6647332467744447,1.1661186250858009,0.7271515460367425,0.020070666912943125
0.3,-1.7967573593699022,0.013097832910716534,0.34534507095355615,0.008726208005100489,-0.9740878093504544,1.2228450002148747,0.5716279551763013,0.017673665657639503
