noise_pct,best_method,r2_clean,r2_noisy,max_rel_err,correct_structure
0.0,fd,0.9999912682980269,0.9999896441362492,0.015818620659974015,False
0.005,savgol,0.989121247133773,0.9247817794378137,0.9133921257019841,False
0.01,savgol,0.9577902136301315,0.8007502829361395,2.4939260536645427,False
0.02,savgol,0.9063729616094417,0.5616280588231085,4.323142989466864,False
0.03,weak,0.8913137322497047,0.8840344877310027,3.1055941620131366,False
0.05,weak,0.8853246902056537,0.8087116555090094,2.710807153194835,False
0.07,weak,0.8845562858528846,0.7232338193565864,2.7995499534208816,False
0.1,weak,0.8877538286326282,0.5991820034593602,3.505364812847812,False
0.12,weak,0.8873836705680758,0.5268908709916265,4.00214821834092,False
0.15,weak,0.8788612654982755,0.4374286902114334,4.725263659449473,False
0.2,weak,0.8316006820966351,0.32789896816696973,5.837989248865044,False
0.25,weak,0.7271515460367425,0.25218168890530146,6.612604486657845,False
0.3,weak,0.5716279551763013,0.19988004872475107,7.861623394032391,False
