experiment,parameter_name,parameter_value,coef_V,coef_dVdS,coef_d2VdS2,coef_S_dVdS,coef_S2_d2VdS2,R2
jump_intensity,lambda,0.0,0.049897025521548226,0.03817540693284718,0.5552718294095469,-0.050236730620308666,-0.020096911357450446,0.9999978120866516
jump_intensity,lambda,0.01,0.051115174403128405,0.010484247966059526,0.8186428705996963,-0.05047319618889546,-0.020174131706666616,0.9999982022488337
jump_intensity,lambda,0.05,0.055945468867384815,-0.09967568378002448,1.8816266241278228,-0.051412803840161544,-0.020485306078307366,0.9999899361021914
jump_intensity,lambda,0.1,0.0618903652522364,-0.2359653394331547,3.229893592932335,-0.052574146566375005,-0.020879222877669593,0.9999584611902482
jump_intensity,lambda,0.2,0.0734829855886281,-0.5036064599127699,5.980523669241498,-0.05485781072790193,-0.021682268372297888,0.999830625440632
jump_intensity,lambda,0.5,0.10608106993141196,-1.264965162626449,14.483689578562473,-0.061460278518493436,-0.024191156750386425,0.9990138599715246
jump_size,mu_J,-0.2,0.07868653736303362,-0.39752912344466174,7.570122456955835,-0.057904332068232735,-0.02136221315103353,0.999872887577684
jump_size,mu_J,-0.1,0.0618903652522364,-0.2359653394331547,3.229893592932335,-0.052574146566375005,-0.020879222877669593,0.9999584611902482
jump_size,mu_J,-0.05,0.05644521832598086,-0.20748584002635082,-0.4295746200930244,-0.05083776259539115,-0.020521919600632734,0.9999799059165297
jump_size,mu_J,0.0,0.05227267776258518,-0.24281528632827423,-5.561855859861163,-0.04918051347268189,-0.02007924809987716,0.9999719168772038
jump_size,mu_J,0.05,0.0487540822464156,-0.35861520863869534,-12.700018949605239,-0.0472411318856001,-0.01951292791740719,0.9999098239986007
jump_size,mu_J,0.1,0.045332964759282286,-0.5703014775951267,-22.365375739772094,-0.0447086506724597,-0.018772654764254645,0.9997434833663391
stochvol,sigma_v,0.0,0.04959011283198771,0.08375659367314306,1.4006122587802872,-0.050467022412063786,-0.02024131447304754,0.9999914136263255
stochvol,sigma_v,0.1,0.054430530073713936,-0.4461159133143915,60.831272699216996,-0.04841734120194888,-0.02577466887500167,0.9997079841340344
stochvol,sigma_v,0.2,0.0658448911560265,-0.41948125241158585,110.0693717848338,-0.05274809832855797,-0.02999119189280683,0.9986019729275337
stochvol,sigma_v,0.3,0.08316256939356705,0.0598770140211788,146.46879811494776,-0.06241760485432017,-0.03259700484585769,0.9962388002341842
stochvol,sigma_v,0.5,0.13042854324007883,1.8268279558205607,172.00773347158088,-0.09184884190440959,-0.03213863181416966,0.9876823352293385
