sigma,r,true_coeff_V,disc_coeff_V,rel_error_V,true_coeff_SdVdS,disc_coeff_SdVdS,rel_error_SdVdS,true_coeff_S2d2VdS2,disc_coeff_S2d2VdS2,rel_error_S2d2VdS2,correct_structure,r2
0.1,0.01,0.01,0.01121353139758315,0.1213531397583149,-0.01,-0.011459623080397302,0.14596230803973018,-0.005000000000000001,-0.005074324224399673,0.014864844879934436,False,0.9999824297893319
0.1,0.05,0.05,0.050123943976382895,0.0024788795276578512,-0.05,-0.05032558219968799,0.006511643993759725,-0.005000000000000001,-0.005155624319806921,0.031124863961383933,False,0.9999958320752037
0.1,0.1,0.1,0.09981316568946631,0.0018683431053369282,-0.1,-0.09988188006314587,0.001181199368541358,-0.005000000000000001,-0.005215069521231396,0.04301390424627897,False,0.9999980670874292
0.2,0.01,0.01,0.00994330155718343,0.005669844281657073,-0.01,-0.010353902568916577,0.03539025689165767,-0.020000000000000004,-0.020075576238156125,0.003778811907806031,False,0.999996414197627
0.2,0.05,0.05,0.049897025521548226,0.0020594895690355386,-0.05,-0.050236730620308666,0.004734612406173261,-0.020000000000000004,-0.020096911357450446,0.004845567872522118,False,0.9999978120866516
0.2,0.1,0.1,0.0998558439346917,0.0014415606530830682,-0.1,-0.10009626856096374,0.0009626856096373038,-0.020000000000000004,-0.020115835255023664,0.005791762751183003,False,0.9999988382132762
0.3,0.01,0.01,0.009668400999845348,0.033159900015465246,-0.01,-0.01015258771401751,0.015258771401750922,-0.045,-0.045089459503220984,0.001987988960466351,False,0.9999974137102646
0.3,0.05,0.05,0.04969991920298776,0.006001615940244842,-0.05,-0.05010323657793411,0.002064731558682198,-0.045,-0.04510108855294623,0.0022464122876939925,False,0.9999980062127118
0.3,0.1,0.1,0.09973353096653247,0.002664690334675396,-0.1,-0.1000421433840234,0.00042143384023390906,-0.045,-0.04511188321449006,0.002486293655334772,False,0.9999986392894037
0.4,0.01,0.01,0.009417615879452296,0.05823841205477038,-0.01,-0.009965103424692784,0.0034896575307216335,-0.08000000000000002,-0.08013906454965244,0.0017383068706553618,False,0.9999973575343086
0.4,0.05,0.05,0.04947252713727448,0.01054945725451048,-0.05,-0.04993513825374873,0.0012972349250255089,-0.08000000000000002,-0.08014656668983328,0.0018320836229157584,False,0.9999977937210436
0.4,0.1,0.1,0.09953565417491853,0.004643458250814803,-0.1,-0.0999025290559485,0.0009747094405150591,-0.08000000000000002,-0.08015364003307796,0.001920500413474246,False,0.9999982851125733
