ticker,tau,R2,coef_drift,coef_diffusion,market_avg_iv,n_strikes
SPY,0.032854,-0.45473021893051246,-0.4247946729653471,0.011157363100514515,0.23983939548022118,73
SPY,0.16016407142857142,0.25229645116129196,-0.20437498296474235,0.00325687262272793,0.20468968137989862,46
SPY,0.28747414285714284,-0.6754274160936065,-0.13557692701826823,0.004007732982875829,0.19082727997629262,19
SPY,0.41478421428571427,0.7775195723220678,-0.14220020561048502,0.0005171603434547091,0.1978977797969695,31
SPY,0.5420942857142858,-1.4500928859917135,-0.14934441175933202,-0.002354842357074031,0.2297843571581159,14
SPY,0.6694043571428572,0.3016581779160915,-0.11758538094379799,-0.0001853662361148431,0.21118853368012797,23
SPY,0.7967144285714286,0.7617417263661596,-0.11201884401899773,-0.0003215516870629257,0.2142552727579516,43
SPY,0.9240245,0.3882996113879815,-0.10843527231284546,-0.0005805452601907059,0.21995343565804615,14
SPY,1.0513345714285713,0.22140450818239654,-0.10422500874116733,-0.0006241561755147384,0.21995343565804615,14
SPY,1.1786446428571429,-0.4739807108270462,-0.1015732270904001,-0.0003058533769334326,0.2216813672485351,5
SPY,1.3059547142857142,-1.3687883393067315,-0.09702601860459188,-0.0003120897562649056,0.2216813672485351,5
SPY,1.4332647857142855,-2.602394399199686,-0.09282958707367134,-0.00032520307239532084,0.2216813672485351,5
SPY,1.560574857142857,-4.2432258052122505,-0.08903917472161074,-0.00032954939062924537,0.24649038429260242,3
SPY,1.6878849285714286,-6.433401877434598,-0.08559785352961703,-0.00032866630022976664,0.24649038429260242,3
SPY,1.815195,-9.609639278183806,-0.0824580618940335,-0.0003246533003082197,0.21436968296051018,3
