tau,n_used,c1,c2,sigma_loc,r2,market_avg_iv,sigma_in_bounds
0.032854,40,-0.30976637025143355,-0.002598571402283412,0.0,0.9493217718994087,0.41859541643365417,False
0.052019,40,-0.21514138576489994,0.0004880631013021381,0.03124301846179841,0.9896233932676382,0.32167932090972606,True
0.068446,40,-0.17342945089901704,0.0019604002960062613,0.062616296537024,0.9905053917126972,0.2908058596750025,True
0.090349,40,-0.15636861720783288,0.002194480548857422,0.06624923469531437,0.9771654557617727,0.27060481015925053,True
0.1013,40,-0.1509215950019838,0.0011060456143323876,0.04703287391457995,0.9943828535428813,0.26316370728855504,True
0.147844,40,-0.12128878316425139,0.0027595318683827936,0.07429040137706612,0.9772985098231158,0.23020886917396916,True
0.186174,40,-0.1212040339275587,0.0025879524523394863,0.07194376209706421,0.9455016747557432,0.23606668751490503,True
0.243669,40,-0.10701182628050349,0.003180019172961952,0.07974984856364245,0.9412677172173014,0.2159304516787223,True
0.271047,40,-0.11432277980351753,0.0024801921937647135,0.07042999636184448,0.8229327024703247,0.238671313139809,True
0.320329,40,-0.10861144403967907,0.001778652888501196,0.05964315364735832,0.9642777544661933,0.21630678798096015,True
0.353183,40,-0.09363668491506291,0.003917336377135119,0.08851368681887699,0.9012708457812182,0.20712122634190694,True
0.396988,40,-0.1045321540935731,0.0014293857657336443,0.053467481065291346,0.975431817469347,0.21755808506013566,True
0.435318,40,-0.10340630410214836,0.00197046558434426,0.06277683624306436,0.8627905071888351,0.22692518184665983,True
0.492813,40,-0.07475447201341232,0.007185626139044744,0.11988015798325212,0.8818847075095532,0.19436454067166195,True
0.569473,40,-0.0993364999039502,0.0015589190549781175,0.05583760480139021,0.9258736962094032,0.21640277060498123,True
0.605065,40,-0.09585714639846038,0.0013678851334883385,0.05230459126096558,0.9131460588949987,0.22179475996903636,True
0.646133,40,-0.09452839912933414,0.0014896365298817612,0.05458271759232516,0.9483250077795419,0.22107789424232055,True
0.818617,40,-0.09321355130785813,0.0017375355206859099,0.05894973317472964,0.8773101626646658,0.21869423350095998,True
0.851472,40,-0.0926727420666046,0.0016330398944365862,0.05714962632312807,0.8797270032372205,0.21869423350095998,True
1.065024,40,-0.0905868509370724,0.0011940050338703882,0.04886726990267388,0.8381572853799227,0.22324951453898567,True
1.316906,40,-0.08886209616486122,0.0011799614572576664,0.04857903780969043,0.7365798971763382,0.23194636910739624,True
1.566051,40,-0.08594265530202398,0.0005413091438746876,0.03290316531504796,0.6959191184866191,0.23194636910739624,True
1.661875,40,-0.07616480477660587,0.0007256217691632729,0.038095190488125215,0.5564706219315999,0.2395684766173634,True
