method,sigma,abs_diff_to_atm,rel_err,ticker
sindy,0.17899496028576334,0.02023847318476063,0.12748123591248703,SPY
mean,0.17317248119354242,0.014415994092539713,0.09080570095613222,SPY
median,0.15761264148712156,0.0011438456138811448,0.0072050322778521615,SPY
vega_weighted,0.18396416241741834,0.02520767531641563,0.1587820175208224,SPY
volume_weighted,0.15830222380572986,0.00045426329527284426,0.0028613841460464963,SPY
atm_truth,0.1587564871010027,0.0,0.0,SPY
sindy,0.20491922174378996,0.02439589631289349,0.10638590477433402,QQQ
mean,0.23314158991721953,0.003826471860536085,0.016686522428016434,QQQ
median,0.2190019506835937,0.010313167373089738,0.04497377870455305,QQQ
vega_weighted,0.24622494165504946,0.016909823598366014,0.07374055291978676,QQQ
volume_weighted,0.22671511067562763,0.0026000073810558133,0.011338142042659082,QQQ
atm_truth,0.22931511805668345,0.0,0.0,QQQ
sindy,0.25473040813583053,0.0165715713842437,0.06108164567600412,AAPL
mean,0.2850133134885694,0.013711333968495165,0.05053901188907703,AAPL
median,0.27349054153442376,0.0021885620143495266,0.008066885535524041,AAPL
vega_weighted,0.29316903114474907,0.021867051624674838,0.08060041310187656,AAPL
volume_weighted,0.2577199998547446,0.013581979665329647,0.05006222103265076,AAPL
atm_truth,0.27130197952007423,0.0,0.0,AAPL
sindy,0.22318171908725262,0.09265732217965009,0.2933688052242698,MSFT
mean,0.32940665766915606,0.013567616402253346,0.042957375845084037,MSFT
median,0.33107663558959954,0.015237594322696835,0.048244809323050614,MSFT
vega_weighted,0.3374933802138632,0.021654338946960505,0.06856131167350304,MSFT
volume_weighted,0.3123158496469244,0.0035231916199783275,0.011155022526176622,MSFT
atm_truth,0.3158390412669027,0.0,0.0,MSFT
