ticker,term,coefficient,mean_abs_column,mean_abs_contribution,fraction_of_total
SPY,V,-0.5655500348990068,43.82694755279039,24.786331717997594,0.053560031738264936
SPY,dV/dS,-453.8443101818705,0.4780878501062736,216.97745053781475,0.4688599857983348
SPY,d2V/dS2,-100.20077857953024,0.009226343092220111,0.9244867612823263,0.0019976953765987663
SPY,S*dV/dS,0.6363589226853469,345.85572185661795,220.08837456524054,0.47558228708680145
SPY,S2*d2V/dS2,0.0,5519.43849013427,0.0,0.0
QQQ,V,-0.4251421073171594,48.63186526533514,20.675453681668756,0.03901172751243414
QQQ,dV/dS,-507.4197198639373,0.477111023162799,242.09554171726347,0.4568008736767282
QQQ,d2V/dS2,-26.01728474399739,0.009265641384508161,0.24106683023651498,0.00045485983709326233
QQQ,S*dV/dS,0.7900287932006588,337.9223770650453,266.96840774819657,0.5037325389737445
QQQ,S2*d2V/dS2,0.0,4651.009895404887,0.0,0.0
AAPL,V,-0.20856234371584528,27.609713683772902,5.758346595211127,0.03802293140772119
AAPL,dV/dS,-133.3777016165843,0.4799214947056751,64.01082592023876,0.4226698068749339
AAPL,d2V/dS2,321.47404322005156,0.007530080857799225,2.4207255391306335,0.015984289866787408
AAPL,S*dV/dS,0.5216247367624882,146.18202695157171,76.25216132802068,0.5035005538355439
AAPL,S2*d2V/dS2,-0.0039531081276745865,759.3992120209779,3.0019871971898002,0.019822418015013547
MSFT,V,-1.0737754395403176,36.318849064811246,38.998288118166116,0.07029961342035428
MSFT,dV/dS,-568.105209243788,0.44395263424614334,252.21180417273658,0.4546454008357956
MSFT,d2V/dS2,-26.17685836802244,0.015613679395495045,0.4087170741395832,0.0007367670145738214
MSFT,S*dV/dS,1.4395665942807756,182.7808332949337,263.12518168619016,0.47431821872927626
MSFT,S2*d2V/dS2,0.0,2857.5206623419126,0.0,0.0
