dataset,window_center,r2,is_autonomous,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4
bs,0.095,0.9999999853807154,True,0.049793406699288306,0.0,0.23596629806166938,-0.04992310028723965,-0.020043891483780243
bs,0.145,0.999999984059104,True,0.04978255330446415,0.0,0.2520100513826524,-0.0499201692303321,-0.020045913360588523
bs,0.195,0.9999999823381308,True,0.04977045899189988,0.0,0.27011864311945666,-0.04991694052805926,-0.020048183118596474
bs,0.245,0.9999999800803554,True,0.04975693893789593,0.0,0.2906784196589624,-0.04991337619201303,-0.020050744435533115
bs,0.29500000000000004,0.9999999770856984,True,0.04974177816480501,0.0,0.3141700243866282,-0.04990943332170499,-0.02005365123661396
bs,0.345,0.9999999730490923,True,0.04972472282784898,0.0,0.3412022225402029,-0.04990506225325567,-0.020056971589487757
bs,0.395,0.9999999674851133,True,0.04970546766034555,0.0,0.37256171045002173,-0.04990020369256228,-0.02006079350912635
bs,0.44500000000000006,0.9999999595891119,True,0.04968363586964928,0.0,0.40928961130423763,-0.04989478371717537,-0.02006523403677222
bs,0.495,0.9999999479679644,True,0.04965874215785605,0.0,0.4528065166923811,-0.04988870387641993,-0.02007045443085173
bs,0.545,0.9999999300828626,True,0.04963011573564774,0.0,0.5051339425314424,-0.04988181972031988,-0.02007668769452684
bs,0.595,0.9999999010009828,True,0.049596725756388016,0.0,0.5693241578064854,-0.04987389173417278,-0.02008429286163544
bs,0.645,0.9999998508188899,True,0.04977090291327765,0.02107580403482994,0.6429283388552461,-0.050078913210960245,-0.02009613349793827
bs,0.6950000000000001,0.9999997544737608,True,0.04981850867718504,0.030722768981279815,0.747357692543983,-0.05016458789499432,-0.020109268350283753
bs,0.745,0.9999995448120299,True,0.04993692801240082,0.04919723985223902,0.8945527605621817,-0.05033467807096769,-0.020128113095664216
bs,0.795,0.9999989815448763,True,0.05025420748889511,0.09131750550903234,1.1277525199530805,-0.05073274716315891,-0.020158757090913665
bs,0.845,0.9999967028773322,True,0.05131707171052564,0.21830047996655724,1.5826320747741727,-0.05195629734882513,-0.020220504236915647
bs,0.895,0.999965389258701,True,0.05792148693188102,0.9479750316055704,3.0136852985021534,-0.05910151263212324,-0.02042453536072548
merton,0.095,0.9999999461749423,True,0.051745550665954924,0.0,0.920768182832001,-0.05069352870465309,-0.020564557462080087
merton,0.145,0.9999999373502855,True,0.05181959749734567,0.0,0.983830539436664,-0.05071367120057947,-0.020568661086033828
merton,0.195,0.9999999262297858,True,0.051899521152904936,0.0,1.0553816160087657,-0.05073505979366122,-0.02057351102438845
merton,0.245,0.9999999120480413,True,0.05198609451331127,0.0,1.137157858381162,-0.050757840659326245,-0.0205792669178744
merton,0.29500000000000004,0.9999998937242107,True,0.0520802414667305,0.0,1.231388598189257,-0.05078218781246553,-0.020586134295211028
merton,0.345,0.9999998697025381,True,0.05218308000823139,0.0,1.3409780502134683,-0.05080831164880663,-0.020594381446117416
merton,0.395,0.9999998382398838,True,0.05209413055218234,-0.019741597627901106,1.479363311647037,-0.050633468175113744,-0.02060027395158389
merton,0.44500000000000006,0.9999997949713021,True,0.052189661275440925,-0.022604279525485375,1.6332974170072667,-0.050634975157735136,-0.020612324975774875
merton,0.495,0.9999997350947811,True,0.05229122062644103,-0.026251706542402435,1.8188791919925291,-0.050631354390892676,-0.020627220658968253
merton,0.545,0.999999650363377,True,0.05239834393667014,-0.031017402252434677,2.0461254729307368,-0.05061982680773935,-0.020645871570172992
merton,0.595,0.9999995274128075,True,0.05250978622900148,-0.037415753472197964,2.329444337720612,-0.0505960299986252,-0.020669587901824993
merton,0.645,0.9999993438519508,True,0.05262298738957248,-0.04625117815290631,2.6902048143735353,-0.05055306486998285,-0.020700317265391118
merton,0.6950000000000001,0.9999990606423638,True,0.05273347436221295,-0.05877318464504948,3.161334990702961,-0.05048019186340086,-0.020741079410780745
merton,0.745,0.9999986058312023,True,0.05283580241603102,-0.07674800971064832,3.7962454091894924,-0.05036256591254677,-0.020796844380510816
merton,0.795,0.9999978280608528,True,0.052938928418452616,-0.10117111348372942,4.688822172313119,-0.05019486897009431,-0.020876661816873157
merton,0.845,0.9999961533740719,True,0.053222348310269244,-0.116394389431315,6.034737710874549,-0.05014005468524968,-0.021001187275613325
merton,0.895,0.99997578694591,True,0.056795720355969,0.20063897234575867,8.548598462650329,-0.05340831233506375,-0.02126401259751183
