noise_level,r2,r2_clean,n_active,bic,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4
0.0,0.9369214492595708,0.9010729936665699,4,30.019510422530917,0.21924128992157388,-13.058008076485372,-184.65136095570838,0.0,0.01007929830459021
0.005,0.9366932318934428,0.8999963022599978,5,37.755596949205426,0.21480258295004745,-13.897053675632527,-182.5007184287284,0.0079508031393581,0.01008860314007339
0.01,0.9320644615501747,0.8984308666323825,5,47.724657300140755,0.2137820570200356,-14.505279277998012,-180.5944229487499,0.01325418115458044,0.010122273768853919
0.02,0.9128915830913501,0.8950036734327652,5,79.07758381060623,0.21039918596741894,-15.902513226041407,-173.7696335258034,0.025604262013881197,0.010020675409701143
0.03,0.8840344877310027,0.8913137322497047,5,114.41907091271075,0.20527970810065682,-17.225183945730045,-168.31416997542883,0.037666566752850725,0.009973198784144644
0.05,0.8087116555090094,0.8853246902056537,5,179.48333511828855,0.18554035765974175,-19.96196657531116,-160.75855627095922,0.06441035562286898,0.009970266662771619
0.07,0.7232338193565864,0.8845562858528846,5,232.82313658974704,0.1551269817471987,-22.325804385739758,-160.87903705498013,0.08997749767104408,0.010207527163564295
0.1,0.5991820034593602,0.8877538286326282,5,295.13771647532553,0.09745655940851262,-25.261835442815887,-165.38644504764713,0.1252682406423906,0.010546957518144003
0.12,0.5268908709916265,0.8873836705680758,5,328.2313588945104,0.05295782087792855,-27.24332694136827,-165.80868319169798,0.15010741091704596,0.010549464039293705
0.15,0.4374286902114334,0.8788612654982755,5,368.8670651131306,-0.016476279433485473,-30.027154238173832,-162.81936024370899,0.18626318297247368,0.010299679498628783
0.2,0.32789896816696973,0.8316006820966351,5,422.1720930118857,-0.13481315367307484,-34.06830168032304,-150.4878526315786,0.24189946244325222,0.009374483918299504
0.25,0.25218168890530146,0.7271515460367425,5,464.82868210746597,-0.2424200552725437,-36.36673855133307,-134.96383570550262,0.28063022433289225,0.008204119321795985
0.3,0.19988004872475107,0.5716279551763013,5,499.4428832587606,-0.3430811697016196,-37.51797870935273,-120.45564739161588,0.30912683604108787,0.0072134513808765404
